host gpuhost015.jc.rl.ac.uk | CUDA ok | Sun  9 Aug 14:46:44 BST 2026
resume auto: fresh start
target=delta | pooled std 0.7407 | mean +0.0619 | E[target^2] train 0.5525 val 0.5604
  per shard: [+15min sd 0.5800 E[t^2] 0.3395, +30min sd 0.7073 E[t^2] 0.5038, +45min sd 0.7921 E[t^2] 0.6314, +60min sd 0.8546 E[t^2] 0.7352]
diagnostics: 64 fixed val crops (rows 0..53123)
device=cuda | R_phi 65.7M params | cond=full (20ch) -> 4ch | latent_scale=0.784
train rows 613892 | val rows 53124 | 9592 steps/epoch (batch 64)
data-path check: batch E[target^2] 0.3818 vs pack meta 0.5604 (ratio 0.681) | untrained MSE 0.3818 -> EV +0.0000 (must be ~0.000 on a fresh start)
  ep3 step 8400/9592 | mse 0.2865 (win 0.2831) | EV 0.481 (win 0.488) | lr 7.26e-05 | gn 0.27 | 325 img/s
  ep3 step 8600/9592 | mse 0.2865 (win 0.2846) | EV 0.481 (win 0.485) | lr 7.22e-05 | gn 0.27 | 325 img/s
  ep3 step 8800/9592 | mse 0.2864 (win 0.2843) | EV 0.482 (win 0.485) | lr 7.18e-05 | gn 0.27 | 325 img/s
  ep3 step 9000/9592 | mse 0.2864 (win 0.2849) | EV 0.482 (win 0.484) | lr 7.14e-05 | gn 0.27 | 325 img/s
  ep3 step 9200/9592 | mse 0.2863 (win 0.2823) | EV 0.482 (win 0.489) | lr 7.11e-05 | gn 0.27 | 325 img/s
  ep3 step 9400/9592 | mse 0.2863 (win 0.2830) | EV 0.482 (win 0.488) | lr 7.07e-05 | gn 0.27 | 325 img/s
epoch   3/8 | train mse 0.28619 (EV 0.4820) | val mse 0.30216 (EV 0.4608) | 1886s | 325 img/s | GPU 14.1 GB
  val EV per lead: +15min 0.4296, +30min 0.4545, +45min 0.4659, +60min 0.4747
  ep4 step 200/9592 | mse 0.2766 (win 0.2766) | EV 0.499 (win 0.499) | lr 6.99e-05 | gn 0.26 | 324 img/s
  ep4 step 400/9592 | mse 0.2772 (win 0.2778) | EV 0.498 (win 0.497) | lr 6.96e-05 | gn 0.25 | 325 img/s
  ep4 step 600/9592 | mse 0.2769 (win 0.2761) | EV 0.499 (win 0.500) | lr 6.92e-05 | gn 0.25 | 325 img/s
  ep4 step 800/9592 | mse 0.2767 (win 0.2761) | EV 0.499 (win 0.500) | lr 6.88e-05 | gn 0.25 | 325 img/s
  ep4 step 1000/9592 | mse 0.2769 (win 0.2778) | EV 0.499 (win 0.497) | lr 6.84e-05 | gn 0.25 | 325 img/s
  ep4 step 1200/9592 | mse 0.2769 (win 0.2767) | EV 0.499 (win 0.499) | lr 6.80e-05 | gn 0.25 | 325 img/s
  ep4 step 1400/9592 | mse 0.2770 (win 0.2780) | EV 0.499 (win 0.497) | lr 6.76e-05 | gn 0.25 | 325 img/s
  ep4 step 1600/9592 | mse 0.2770 (win 0.2766) | EV 0.499 (win 0.499) | lr 6.73e-05 | gn 0.25 | 325 img/s
  ep4 step 1800/9592 | mse 0.2770 (win 0.2770) | EV 0.499 (win 0.499) | lr 6.69e-05 | gn 0.25 | 325 img/s
  ep4 step 2000/9592 | mse 0.2769 (win 0.2761) | EV 0.499 (win 0.500) | lr 6.65e-05 | gn 0.25 | 325 img/s
  ep4 step 2200/9592 | mse 0.2768 (win 0.2755) | EV 0.499 (win 0.501) | lr 6.61e-05 | gn 0.25 | 325 img/s
  ep4 step 2400/9592 | mse 0.2767 (win 0.2756) | EV 0.499 (win 0.501) | lr 6.57e-05 | gn 0.25 | 325 img/s
  ep4 step 2600/9592 | mse 0.2766 (win 0.2757) | EV 0.499 (win 0.501) | lr 6.53e-05 | gn 0.25 | 325 img/s
  ep4 step 2800/9592 | mse 0.2765 (win 0.2749) | EV 0.500 (win 0.502) | lr 6.49e-05 | gn 0.25 | 325 img/s
  ep4 step 3000/9592 | mse 0.2764 (win 0.2761) | EV 0.500 (win 0.500) | lr 6.45e-05 | gn 0.25 | 325 img/s
  ep4 step 3200/9592 | mse 0.2765 (win 0.2771) | EV 0.500 (win 0.498) | lr 6.41e-05 | gn 0.25 | 325 img/s
  ep4 step 3400/9592 | mse 0.2764 (win 0.2747) | EV 0.500 (win 0.503) | lr 6.37e-05 | gn 0.25 | 325 img/s
  ep4 step 3600/9592 | mse 0.2763 (win 0.2742) | EV 0.500 (win 0.504) | lr 6.33e-05 | gn 0.25 | 325 img/s
  ep4 step 3800/9592 | mse 0.2762 (win 0.2746) | EV 0.500 (win 0.503) | lr 6.29e-05 | gn 0.25 | 325 img/s
  ep4 step 4000/9592 | mse 0.2762 (win 0.2767) | EV 0.500 (win 0.499) | lr 6.25e-05 | gn 0.25 | 325 img/s
  ep4 step 4200/9592 | mse 0.2762 (win 0.2753) | EV 0.500 (win 0.502) | lr 6.21e-05 | gn 0.25 | 325 img/s
